acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,w,linear_vel_x,linear_vel_y,angular_vel_z,orientation,latitude,longitude,altitude
-0.04025,0.05267,0.991033,-0.11521,0.001065,0.0,-0.0,-0.088023,0.186825,9.97715,0.0,0.0,0.0,1.0,-30.06184124,-51.175915241,31.6306
-0.040149,0.05267,0.991134,-0.115243,0.0,0.0,0.001065,-0.01976,0.127544,10.056191,0.0,0.0,0.0,1.0,-30.061841177,-51.175915292,31.6373
-0.040149,0.05267,0.9911,-0.115344,0.001065,0.0,-0.0,-0.127544,0.167064,10.007689,0.0,0.0,0.0,1.0,-30.061841183,-51.175915308,31.631
-0.040182,0.05267,0.9911,-0.115344,0.002131,0.0,-0.0,0.098801,0.079041,10.065173,0.0,0.0,0.0,1.0,-30.06184119,-51.175915306,31.6324
-0.040216,0.05267,0.9911,-0.115445,0.002131,0.0,0.001065,-0.068263,0.246105,10.007689,0.0,0.0,0.0,1.0,-30.061841206,-51.175915315,31.6368
-0.04025,0.052603,0.9911,-0.115478,0.001065,0.0,-0.0,0.059281,0.127544,10.163975,0.0,0.0,0.0,1.0,-30.061841194,-51.175915311,31.641
-0.040317,0.052704,0.991066,-0.115579,0.001065,0.001065,-0.0,-0.127544,0.195807,9.968168,0.0,0.0,0.0,1.0,-30.061841199,-51.175915274,31.6352
-0.04035,0.05267,0.991066,-0.115747,0.002131,0.001065,-0.0,-0.167064,0.167064,10.065173,0.0,0.0,0.0,1.0,-30.061841201,-51.175915287,31.6358
-0.040451,0.052737,0.991033,-0.115781,0.002131,0.0,-0.001065,-0.147304,0.226345,10.084933,0.0,0.0,0.0,1.0,-30.061841211,-51.175915251,31.6329
-0.040417,0.052637,0.990966,-0.115881,0.002131,-0.001065,-0.0,-0.118562,0.039521,10.135232,0.0,0.0,0.0,1.0,-30.061841205,-51.17591526,31.628
-0.040451,0.052536,0.990966,-0.115881,0.0,0.0,-0.0,-0.088023,0.039521,10.056191,0.0,0.0,0.0,1.0,-30.061841242,-51.175915261,31.6328
-0.040283,0.052536,0.991033,-0.115948,0.0,0.0,-0.0,-0.088023,0.176046,10.095712,0.0,0.0,0.0,1.0,-30.061841224,-51.175915261,31.6311
-0.040317,0.052502,0.991033,-0.115948,0.0,-0.001065,-0.0,-0.098801,0.118562,10.036431,0.0,0.0,0.0,1.0,-30.06184124,-51.175915246,31.6275
-0.039947,0.052536,0.990966,-0.115982,0.002131,0.001065,0.001065,-0.118562,0.039521,10.016671,0.0,0.0,0.0,1.0,-30.061841211,-51.175915278,31.6254
-0.039981,0.052502,0.990999,-0.116049,0.001065,0.001065,0.001065,-0.107783,0.136526,10.203495,0.0,0.0,0.0,1.0,-30.061841206,-51.175915286,31.6261
-0.040115,0.052435,0.991033,-0.116083,0.001065,0.0,-0.0,-0.167064,0.068263,10.084933,0.0,0.0,0.0,1.0,-30.061841213,-51.175915269,31.6313
-0.040115,0.052469,0.991033,-0.11615,0.001065,0.001065,-0.0,-0.028742,0.167064,10.056191,0.0,0.0,0.0,1.0,-30.061841208,-51.175915293,31.6384
-0.040182,0.052469,0.991033,-0.116083,0.001065,0.001065,-0.0,-0.088023,0.235327,10.075952,0.0,0.0,0.0,1.0,-30.061841219,-51.175915281,31.6421
-0.040317,0.052435,0.991033,-0.116116,0.001065,0.0,-0.001065,-0.136526,0.048503,10.036431,0.0,0.0,0.0,1.0,-30.061841231,-51.175915244,31.6394
-0.040182,0.052435,0.990966,-0.116116,0.002131,-0.001065,0.001065,-0.167064,-0.079041,10.095712,0.0,0.0,0.0,1.0,-30.061841227,-51.175915259,31.6399
-0.040182,0.052939,0.990966,-0.116183,-0.007457,0.001065,-0.009587,0.048503,0.844303,10.163975,0.004,0.0,0.0,1.0,-30.061841214,-51.175915266,31.6429
-0.03988,0.053274,0.990899,-0.116452,0.009587,-0.003196,0.002131,-0.039521,0.206585,9.987928,0.02,0.0,0.0,1.0,-30.061841216,-51.17591527,31.6443
-0.039813,0.054349,0.990831,-0.116418,0.002131,-0.002131,0.002131,-0.088023,0.30359,10.192717,0.049,0.0,0.0,1.0,-30.061841226,-51.175915261,31.6466
-0.039511,0.054953,0.990899,-0.116485,0.025566,-0.001065,-0.007457,0.167064,-0.461672,10.007689,0.09,0.0,0.0,1.0,-30.061841204,-51.175915258,31.6355
-0.039444,0.055255,0.990899,-0.116217,-0.041545,-0.008522,-0.015979,-0.028742,0.127544,10.135232,0.142,0.0,0.0,1.0,-30.061841212,-51.175915239,31.6306
-0.038773,0.054282,0.990932,-0.116553,-0.013848,0.019175,0.015979,0.666461,0.167064,10.084933,0.207,0.0,0.0,1.0,-30.061841219,-51.175915285,31.6324
-0.038705,0.049951,0.991234,-0.116016,0.017044,0.0,0.002131,-0.314368,-1.717349,10.115472,0.372,0.0,0.0,1.0,-30.061841226,-51.175915248,31.6242
-0.03894,0.047769,0.991503,-0.114606,0.090548,-0.011718,-0.027697,-1.295197,-1.952676,9.26039,0.471,-0.001,0.0,1.0,-30.061841237,-51.175915264,31.627
-0.039712,0.046057,0.991771,-0.112726,-0.017044,0.014914,0.009587,1.147893,-0.617958,9.594519,0.581,-0.001,-0.008918,0.99996,-30.061841224,-51.175915254,31.6233
-0.039545,0.048004,0.991704,-0.112524,0.071373,0.010653,-0.007457,-0.71676,-0.373649,9.427455,0.691,-0.001,0.0,1.0,-30.061841262,-51.175915261,31.6378
-0.042163,0.050287,0.991436,-0.112256,0.107592,0.059655,0.042611,3.217334,-3.168832,11.635218,0.801,-0.001,0.0,1.0,-30.061841412,-51.17591526,31.6407
-0.043271,0.054987,0.991335,-0.111282,-0.025566,-0.09907,-0.050067,-2.374828,2.766441,9.044824,0.911,-0.001,0.0,1.0,-30.061841649,-51.175915241,31.6366
-0.040619,0.053744,0.99157,-0.110611,0.076699,-0.023436,-0.02024,-0.765262,-0.873046,9.163385,1.021,-0.001,0.0,1.0,-30.061842052,-51.175915198,31.6377
-0.040216,0.054483,0.991503,-0.111182,0.023436,-0.01811,0.002131,-0.28383,0.098801,10.507085,1.131,-0.001,0.0,1.0,-30.061842578,-51.175915098,31.6423
-0.039578,0.057538,0.991402,-0.110544,0.084156,0.013848,0.029827,0.578438,-0.785022,7.23047,1.24,-0.001,0.0,1.0,-30.061843089,-51.175915158,31.6387
-0.039746,0.0617,0.991033,-0.111719,-0.082025,0.05859,0.008522,-0.941308,2.687399,9.565777,1.35,-0.001,0.0,1.0,-30.061843763,-51.175915148,31.6482
-0.038068,0.057269,0.991234,-0.110913,0.0,0.001065,0.02024,0.039521,-0.461672,9.407694,1.46,-0.001,0.0,1.0,-30.061844589,-51.175915098,31.6215
